dataset,method,seed,requested_K,realized_K,metacell_id,metacell_size,mast_count,mast_purity,background_abundance,fold_enrichment,fisher_p,fisher_q,is_mast_containing,is_associated,is_majority_dominated,is_high_purity
D17 Human_Kidney_Cancer,KMeans,1,323,323,107,61,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,264,61,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,269,51,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,27,37,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,260,46,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,162,47,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,299,46,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,153,83,8,0.0963855421686747,0.004584030229820975,21.026375773363725,3.961317968331234e-09,4.2650190125699623e-07,True,True,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,321,31,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,76,67,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,244,33,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,284,55,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,148,59,1,0.01694915254237288,0.004584030229820975,3.6974347228584517,0.23781720436634482,1.0,True,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,190,42,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,44,31,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,198,39,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,205,48,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
D17 Human_Kidney_Cancer,KMeans,1,323,323,88,76,0,0.0,0.004584030229820975,0.0,1.0,1.0,False,False,False,False
